trial,trigger,latency,scene_category,old,behavior,subsequent_memory
90,1039,633766,manmade,new,falsealarm,na
91,1031,636090.5,manmade,new,falsealarm,subsequent_remembered
92,2111,637626.5,natural,old,hit,subsequent_remembered
93,2119,639541,natural,old,hit,na
94,2049,640775,natural,new,correctreject,na
95,2041,642367,natural,new,correctreject,subsequent_remembered
96,1039,643662,manmade,new,falsealarm,na
97,2041,645141.5,natural,new,correctreject,subsequent_remembered
98,1049,646985,manmade,new,correctreject,na
99,2119,649211.5,natural,old,hit,na
100,2040,650517,natural,new,correctreject,subsequent_forgotten
101,1039,653857.5,manmade,new,falsealarm,na
102,1121,657065,manmade,old,miss,subsequent_remembered
103,2111,659133.5,natural,old,hit,subsequent_remembered
104,2111,660572.5,natural,old,hit,subsequent_remembered
105,1111,661708.5,manmade,old,hit,subsequent_remembered
106,2041,663490,natural,new,correctreject,subsequent_remembered
107,2129,664964.5,natural,old,miss,na
108,1121,666131.5,manmade,old,miss,subsequent_remembered
109,1049,667800.5,manmade,new,correctreject,na
110,1119,669933,manmade,old,hit,na
111,1111,671696.5,manmade,old,hit,subsequent_remembered
112,2111,673135,natural,old,hit,subsequent_remembered
113,2031,674512.5,natural,new,falsealarm,subsequent_remembered
114,2049,676592.5,natural,new,correctreject,na
115,1041,678188,manmade,new,correctreject,subsequent_remembered
116,2119,679688,natural,old,hit,na
117,1049,681004,manmade,new,correctreject,na
118,1041,682325,manmade,new,correctreject,subsequent_remembered
119,2119,684679.5,natural,old,hit,na
120,2049,686651,natural,new,correctreject,na
121,1041,688325,manmade,new,correctreject,subsequent_remembered
122,2110,690787.5,natural,old,hit,subsequent_forgotten
123,2119,692978.5,natural,old,hit,na
